Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-01,2019,1,1,,5.3,,0.8,,3.1,,14.9,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-02,2019,1,2,,5.5,,2.4,,4.0,,14.0,,0.0,,3.4,,0.0,T,3.4,,,,6.0,,41.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-03,2019,1,3,,9.5,,4.5,,7.0,,11.0,,0.0,,54.8,,0.0,,54.8,,,,14.0,,54.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-04,2019,1,4,,10.4,,6.1,,8.3,,9.7,,0.0,,9.6,,0.0,,9.6,,,,15.0,,45.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-05,2019,1,5,,8.7,,5.3,,7.0,,11.0,,0.0,,3.2,,0.0,,3.2,,,,10.0,,33.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-06,2019,1,6,,7.9,,3.3,,5.6,,12.4,,0.0,,6.8,,0.0,,6.8,,,,24.0,,59.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-07,2019,1,7,,5.8,,0.5,,3.2,,14.8,,0.0,,0.0,,0.0,T,0.0,T,,,28.0,,54.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-08,2019,1,8,,5.5,,-1.0,,2.3,,15.7,,0.0,,2.4,,0.0,,2.4,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-09,2019,1,9,,10.5,,3.8,,7.2,,10.8,,0.0,,6.8,,0.0,,6.8,,,,15.0,,54.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-10,2019,1,10,,11.1,,8.2,,9.7,,8.3,,0.0,,3.6,,0.0,,3.6,,,,15.0,,45.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-11,2019,1,11,,10.2,,3.5,,6.9,,11.1,,0.0,,0.0,T,0.0,,0.0,T,,,,,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-12,2019,1,12,,11.3,,-0.2,,5.6,,12.4,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-13,2019,1,13,,8.7,,0.8,,4.8,,13.2,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-14,2019,1,14,,4.9,,-1.9,,1.5,,16.5,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-15,2019,1,15,,5.3,,-2.0,,1.7,,16.3,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-16,2019,1,16,,7.2,,-1.8,,2.7,,15.3,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-17,2019,1,17,,10.4,,0.1,,5.3,,12.7,,0.0,,12.2,,0.0,,12.2,,,,9.0,,41.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-18,2019,1,18,,9.8,,6.8,,8.3,,9.7,,0.0,,7.4,,0.0,,7.4,,,,13.0,,50.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-19,2019,1,19,,9.6,,4.2,,6.9,,11.1,,0.0,,2.0,,0.0,,2.0,,,,21.0,,63.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-20,2019,1,20,,7.3,,1.9,,4.6,,13.4,,0.0,,0.0,,0.0,,0.0,,,,30.0,,46.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-21,2019,1,21,,7.0,,-1.6,,2.7,,15.3,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-22,2019,1,22,,5.7,,3.5,,4.6,,13.4,,0.0,,20.0,,0.0,,20.0,,,,6.0,,42.0,
-123.18,49.19,VANCOUVER INTL A,1108395,2019-01-23,2019,1,23,,6.8,,4.5,,5.7,,12.3,,0.0,,6.4,,0.0,,6.4,,,,30.0,,42.0,
