project,street,location,comp_date,url_link,geom,geo_point_2d
W 10th Av - Tolmie to Sasamat,,W 10th Av - Tolmie to Sasamat,2026-03-30,http://vanmapp1.vancouver.ca/roadahead/events/details/78bd2f49-24a5-464f-b2cb-973e928fe57a,"{'type': 'Feature', 'geometry': {'coordinates': [[-123.20909961763499, 49.26382916954071], [-123.21213941777974, 49.26387637619345]], 'type': 'LineString'}, 'properties': {}}","{'lon': -123.21061951770736, 'lat': 49.263852772867075}"
Bayswater St between W 6th and W 7th Av,,Bayswater St between W 6th and W 7th Av,2026-06-24,http://vanmapp1.vancouver.ca/roadahead/events/details/98cda8a2-a5e8-41b7-af15-c4cfb742076e,"{'type': 'Feature', 'geometry': {'coordinates': [[-123.17114447861454, 49.266648939185586], [-123.17117232799235, 49.26587474197456]], 'type': 'LineString'}, 'properties': {}}","{'lon': -123.17115840330345, 'lat': 49.26626184058007}"
E 22nd Ave from Welwyn to Commercial St,,E 22nd Ave from Welwyn to Commercial St,2026-06-26,http://vanmapp1.vancouver.ca/roadahead/events/details/9bcb9dfb-2439-43f4-b227-8ea369d577c7,"{'type': 'Feature', 'geometry': {'coordinates': [[-123.06943131525497, 49.25034743334149], [-123.06813714219895, 49.25032458541489]], 'type': 'LineString'}, 'properties': {}}","{'lon': -123.06878422872697, 'lat': 49.250336009378195}"
"B/S of 1000 blk Chilco St  (24 hours)
S/S of 1900 Pendrell St  (day time only)",,"B/S of 1000 blk Chilco St  (24 hours)
S/S of 1900 Pendrell St  (day time only)",2026-04-11,http://vanmapp1.vancouver.ca/roadahead/events/details/ad6dd532-c8e2-4854-9c48-65be2823b920,"{'type': 'Feature', 'geometry': {'coordinates': [[[-123.14370994986378, 49.28986691970937], [-123.1442571205028, 49.28950303821159]], [[-123.14366703451954, 49.28984592661902], [-123.14339881361803, 49.289667484990304]]], 'type': 'MultiLineString'}, 'properties': {}}","{'lon': -123.14383529615506, 'lat': 49.28970857517757}"
"SB Hemlock, W Broadway to W 10th Av",,"SB Hemlock, W Broadway to W 10th Av",2026-06-01,http://vanmapp1.vancouver.ca/roadahead/events/details/170e49e6-7228-4bb5-a884-333fba1b4938,"{'type': 'Feature', 'geometry': {'coordinates': [[[-123.13609687250835, 49.26355955208382], [-123.13611422808661, 49.263053434256534]], [[-123.13611422808661, 49.263053434256534], [-123.13613172244024, 49.26259289494274]]], 'type': 'MultiLineString'}, 'properties': {}}","{'lon': -123.13611385256088, 'lat': 49.26307620743456}"
Various Locations,,Various Locations,2026-04-01,http://vanmapp1.vancouver.ca/roadahead/events/details/1cbc4ee7-698c-4ceb-bcc7-9c9d5c2814d5,"{'type': 'Feature', 'geometry': {'coordinates': [[[-123.10296232191241, 49.26331509000124], [-123.10297621915663, 49.26296573076257]], [[-123.10297621915663, 49.26296573076257], [-123.10299604033806, 49.26253066887506]], [[-123.11291515457648, 49.263187640128876], [-123.11293345949241, 49.26268651720608]], [[-123.11491784815064, 49.262718004765446], [-123.11753622444502, 49.262760158011474]], [[-123.12418833376523, 49.26385173035064], [-123.12420590913786, 49.26337366117119]], [[-123.12420590913786, 49.26337366117119], [-123.12422466571381, 49.26286802036566]], [[-123.14812689528398, 49.26423539325219], [-123.14814539417256, 49.26375735519022]]], 'type': 'MultiLineString'}, 'properties': {}}","{'lon': -123.11828769589711, 'lat': 49.26301034265017}"
"W 23rd Av - Cambie St to Manitoba St                        
Columbia St - W 23",,"W 23rd Av - Cambie St to Manitoba St                        
Columbia St - W 23",2026-07-22,http://vanmapp1.vancouver.ca/roadahead/events/details/3f5f7853-e084-495b-bc4d-848587fa40f8,"{'type': 'Feature', 'geometry': {'coordinates': [[[-123.11536037145135, 49.25008557826274], [-123.10739788443595, 49.24997439991202]], [[-123.10999771587181, 49.250014806571414], [-123.11004394677045, 49.24895857714182]], [[-123.10732113286002, 49.25191150673322], [-123.10739520196937, 49.249977570395345]], [[-123.10741998903484, 49.24997614815695], [-123.10752087768643, 49.247824802571245]]], 'type': 'MultiLineString'}, 'properties': {}}","{'lon': -123.11003383390457, 'lat': 49.249935625669664}"
Hemlock On-Ramp,,Hemlock On-Ramp,2026-04-03,http://vanmapp1.vancouver.ca/roadahead/events/details/a44edc6f-a110-45dd-b5a6-f652404374c1,"{'type': 'Feature', 'geometry': {'coordinates': [[-123.1376784668858, 49.26953783310583], [-123.13769203880359, 49.2695196376375], [-123.1376994608411, 49.269509419242496], [-123.13770873070314, 49.26949635616208], [-123.1377193823676, 49.2694809346919], [-123.1377294988749, 49.2694658556762], [-123.13773801262968, 49.26945277550419], [-123.137746758137, 49.269439002424974], [-123.13775669287139, 49.26942282620922], [-123.13776527168577, 49.269408432658565], [-123.13777421851114, 49.26939291426859], [-123.13778581703495, 49.26937198660153], [-123.13779630524039, 49.26935218465712], [-123.13780923746575, 49.269326442965706], [-123.13781485449326, 49.2693147155224], [-123.13782172762062, 49.26929991921776], [-123.13782641356192, 49.26928950618341], [-123.1378338301134, 49.269272406458924], [-123.13783828178867, 49.269261786813956], [-123.13784449333244, 49.26924636163315], [-123.13784746884035, 49.26923876613557], [-123.13785210839431, 49.269226509139685], [-123.13785704687726, 49.26921300145432], [-123.13786010192557, 49.26920435342322], [-123.13787372977237, 49.269161888819326], [-123.13787890554606, 49.26914474678935], [-123.13788290644521, 49.269130223763995], [-123.13788759821574, 49.269112047863246], [-123.13789117205296, 49.26909719252478], [-123.13789453922023, 49.26908216652407], [-123.13789782200355, 49.26906645698881], [-123.13790031543385, 49.26905359087834], [-123.13790349567289, 49.26903561467509], [-123.1379057253924, 49.269021840364076], [-123.13790758697517, 49.26900914591627], [-123.1379094721128, 49.268995039194095], [-123.13791195523781, 49.268973546699556], [-123.137913730987, 49.26895471762819], [-123.1379149112105, 49.26893922648648], [-123.1379161704803, 49.268917573538886], [-123.1379166973357, 49.26890439494309], [-123.137917129278, 49.26888675484179], [-123.13791797340063, 49.26886904228681], [-123.13791924237103, 49.268850870469436], [-123.13791989192744, 49.26882253481614], [-123.13791964810089, 49.26880903331289], [-123.1379185886764, 49.268788957292344], [-123.13791645046949, 49.268766516821955], [-123.13791519979483, 49.26875673153776], [-123.13791305734135, 49.26874262962218], [-123.13790923394711, 49.2687221880972], [-123.1379029881094, 49.268695686698806], [-123.13789707433028, 49.26867488786016], [-123.13789294220274, 49.26866203865137], [-123.13788906201721, 49.26865080827767], [-123.13788428395821, 49.26863800481536], [-123.13787813823237, 49.26862275629054], [-123.13787384928374, 49.268612821712765], [-123.13786852455186, 49.26860115229724], [-123.13786151514572, 49.268586732360376], [-123.13785221454164, 49.2685689509519], [-123.13784313859078, 49.26855286037221], [-123.1378270241987, 49.26852672155442], [-123.13781409075658, 49.26850753222976], [-123.13779673222861, 49.26848380560506], [-123.13776112013866, 49.26844071608667], [-123.13771270573821, 49.26839093139711], [-123.13765745063507, 49.26834282794428], [-123.13759465437887, 49.26829661344206], [-123.13752393449931, 49.26825315187273], [-123.13744507907344, 49.268205427217595], [-123.13736951654815, 49.268160397153565], [-123.13728983936475, 49.268113644850445], [-123.13720953107196, 49.26806727103997], [-123.13712768300063, 49.268020755077515], [-123.13704633277193, 49.26797526391911], [-123.13694671642467, 49.2679205382928], [-123.13684169313825, 49.26786398396297], [-123.13678346036477, 49.26783214693788], [-123.13670403737794, 49.26778745382853], [-123.13664833533913, 49.2677560994816], [-123.13659509772913, 49.26772614544561], [-123.13653388900399, 49.267691703203894], [-123.1365021970873, 49.26767387617957], [-123.13647130365996, 49.26765648896827], [-123.13644107106484, 49.26763946977158], [-123.13641546426062, 49.2676250627091], [-123.13638784747627, 49.267609524618166], [-123.1363589641229, 49.26759326839928], [-123.1363347232204, 49.26758068573267], [-123.13630607506461, 49.267564968935034], [-123.13627573053586, 49.26754719422996], [-123.13625933149645, 49.26753706698338], [-123.13623913073378, 49.26752406575275], [-123.13621530618028, 49.26750791147509], [-123.1361923467275, 49.267491432345565], [-123.13616510038602, 49.26747059559085], [-123.13614579948774, 49.26745490371806], [-123.1361158997448, 49.26742887984685], [-123.13610428255222, 49.2674181262758], [-123.13608362247473, 49.26739801934963], [-123.13607001699586, 49.26738402084905], [-123.13605770564166, 49.26737075842945], [-123.13604700594483, 49.26735873544874], [-123.1360374908494, 49.267347610592395], [-123.13602812629235, 49.267336242687634], [-123.13601653947299, 49.2673215221879], [-123.13600445368962, 49.26730530007566], [-123.13599500113665, 49.26729191734648], [-123.13598575375923, 49.26727816557181], [-123.1359766688869, 49.26726352308012], [-123.13596944222073, 49.267249804906754], [-123.13596302904465, 49.26723699429104], [-123.13595612975912, 49.26722235822098], [-123.13595104002127, 49.2672109492988], [-123.13594518735917, 49.26719702261744], [-123.13593798885061, 49.26717853695186], [-123.13593304374947, 49.267164735134884], [-123.13592840046046, 49.267150717077755], [-123.13592533543566, 49.26714079897582], [-123.13592133856291, 49.26712691508595], [-123.13591762943484, 49.267112698034936], [-123.13591399917482, 49.26709716759157], [-123.13591026484139, 49.267078776796126], [-123.13590679944254, 49.26705820884533], [-123.1359036101521, 49.26703307100695], [-123.13590163551108, 49.267009766760935], [-123.13590049951542, 49.266976512834844], [-123.13590501303811, 49.26689324793418], [-123.13590724777148, 49.26680606380438], [-123.13590913327658, 49.26673186016123], [-123.13591118217319, 49.26665208829448], [-123.13591362757963, 49.26655653837443], [-123.1359160840045, 49.26645999896749], [-123.13591743660433, 49.26640196932169], [-123.13592140105541, 49.266349027887856], [-123.13593016866461, 49.26630328596053], [-123.13594264432452, 49.266261389616574], [-123.13596050248788, 49.266217436030956], [-123.13597781075507, 49.26618346776519], [-123.13600026554471, 49.26614660597863]], 'type': 'LineString'}, 'properties': {}}","{'lon': -123.13688065967763, 'lat': 49.26786832232676}"
W. 27th & Quesnel intersection,,W. 27th & Quesnel intersection,2026-03-29,http://vanmapp1.vancouver.ca/roadahead/events/details/a727fcc8-0196-439b-b4a1-7385f4ae2368,"{'type': 'Feature', 'geometry': {'coordinates': [[[-123.17059305869999, 49.24802207341597], [-123.17030200454793, 49.24802207341597]], [[-123.17041068496037, 49.24808035786964], [-123.17024707021046, 49.247982307026746]]], 'type': 'MultiLineString'}, 'properties': {}}","{'lon': -123.17040055627517, 'lat': 49.248025739083594}"
Station Street between National Avenue and Terminal Avenue,,Station Street between National Avenue and Terminal Avenue,2026-05-03,http://vanmapp1.vancouver.ca/roadahead/events/details/d9d7f3b6-9b9c-40e1-a7f0-0f5994ef9b41,"{'type': 'Feature', 'geometry': {'coordinates': [[[-123.09862599149831, 49.27255961925928], [-123.09847526100708, 49.27488474087136]], [[-123.10168734920623, 49.27300687467738], [-123.10165328727494, 49.27404583080448]]], 'type': 'MultiLineString'}, 'properties': {}}","{'lon': -123.0995130683471, 'lat': 49.27366176626135}"
