geom,project,street,location,comp_date,url_link,geo_point_2d
"{'type': 'Feature', 'geometry': {'coordinates': [[[-123.11508401139538, 49.25690793662827], [-123.11513585243864, 49.25588133274866]], [[-123.11513585243864, 49.25588133274866], [-123.11515613345091, 49.254899475361526]], [[-123.11515613345091, 49.254899475361526], [-123.11519444493455, 49.25399517461702]]], 'type': 'MultiLineString'}, 'properties': {}}",Cambie St - W 16th to W 19th Av,,Cambie St - W 16th to W 19th Av,2026-03-30,http://vanmapp1.vancouver.ca/roadahead/events/details/042cde28-f795-4cb9-95b6-1dfc32c39c86,"{'lon': -123.11514237344213, 'lat': 49.25545169496934}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.15482193704074, 49.23826816935889], [-123.15045798691376, 49.23824039388259], [-123.15048584168701, 49.236354760348405], [-123.15194198665031, 49.23638073719849], [-123.15206872623412, 49.233535019909255], [-123.1555561096584, 49.23360134557299]], 'type': 'LineString'}, 'properties': {}}",,,,2026-10-01,http://vanmapp1.vancouver.ca/roadahead/events/details/1c37b205-339a-4e58-b386-063b90f6e129,"{'lon': -123.15236340705407, 'lat': 49.23609753312601}"
"{'type': 'Feature', 'geometry': {'coordinates': [[[-123.03184954095418, 49.238256391092364], [-123.032115761986, 49.238002786444014], [-123.03262295602883, 49.23746820087996]], [[-123.03262295602883, 49.23746820087996], [-123.03362385475643, 49.23644805094031]], [[-123.03362385475643, 49.23644805094031], [-123.03394313988504, 49.236118758525976]], [[-123.03394313988504, 49.236118758525976], [-123.03426260441354, 49.235796787288194]], [[-123.03426260441354, 49.235796787288194], [-123.03461570796692, 49.23543796953328]], [[-123.03461570796692, 49.23543796953328], [-123.03523496927836, 49.23480953616834]], [[-123.03523496927836, 49.23480953616834], [-123.0355038826546, 49.234529251821584]], [[-123.0355038826546, 49.234529251821584], [-123.0358766127863, 49.23415350403323]]], 'type': 'MultiLineString'}, 'properties': {}}",Joyce St - Vanness Av to south of Kingsway,,Joyce St - Vanness Av to south of Kingsway,2026-04-06,http://vanmapp1.vancouver.ca/roadahead/events/details/21578386-d08a-4120-b8c3-0dcacf8f53e4,"{'lon': -123.03386349386263, 'lat': 49.23620552918595}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.11288449004172, 49.28595660458083], [-123.11386659612707, 49.28661684901729]], 'type': 'LineString'}, 'properties': {}}",Cordova and Howe St,,Cordova and Howe St,2026-03-29,http://vanmapp1.vancouver.ca/roadahead/events/details/3217439b-4d14-4758-831c-95f712d6ff91,"{'lon': -123.1133755430844, 'lat': 49.28628672679906}"
"{'type': 'Feature', 'geometry': {'coordinates': [[-123.08596715535353, 49.274324306455554], [-123.0830545068576, 49.2734043630129]], 'type': 'LineString'}, 'properties': {}}",South end of Strathcona Park between Raymur Avenue and Chess Street,,South end of Strathcona Park between Raymur Avenue and Chess Street,2026-07-01,http://vanmapp1.vancouver.ca/roadahead/events/details/3ba646e4-e239-4f43-a9de-399cc7dbc22c,"{'lon': -123.08451083110556, 'lat': 49.27386433473422}"
"{'type': 'Feature', 'geometry': {'coordinates': [[[-123.11073398592595, 49.268399994419326], [-123.11074735196848, 49.26809515230792]], [[-123.11122253725023, 49.26840895214005], [-123.11073398592595, 49.268399994419326]], [[-123.10996427343846, 49.269027344026085], [-123.11122253725023, 49.26840895214005]], [[-123.10941867795283, 49.269295559061334], [-123.10996427343846, 49.269027344026085]]], 'type': 'MultiLineString'}, 'properties': {}}",West 2nd Av - Alberta St to Columbia St,,West 2nd Av - Alberta St to Columbia St,2026-05-14,http://vanmapp1.vancouver.ca/roadahead/events/details/3ed48c4a-312c-4451-b53f-6ecd74c2b24e,"{'lon': -123.11048093158026, 'lat': 49.26870839302575}"
"{'type': 'Feature', 'geometry': {'coordinates': [[[-123.1376784668858, 49.26953783310583], [-123.13770082296222, 49.26952468247069], [-123.1377257577321, 49.26950952282829], [-123.13775027929888, 49.269494075826714], [-123.13777438771262, 49.26947835945657], [-123.13779808294824, 49.26946236472298], [-123.1378213375635, 49.269446109649266], [-123.13784415153337, 49.2694295852406], [-123.13786652488301, 49.269412800492404], [-123.13788845763753, 49.269395764399974], [-123.13790992232984, 49.269378485991666], [-123.1379309189601, 49.26936096526771], [-123.13795146127461, 49.26934320221193], [-123.13797150806022, 49.269325205868995], [-123.13799108683453, 49.269306985201496], [-123.13801017010552, 49.269288540242485], [-123.13802875789862, 49.269269879987405], [-123.13804685023914, 49.269251013431614], [-123.13806443340644, 49.26923194958698], [-123.13808149362968, 49.269212679475004], [-123.13809805845173, 49.26919322105337], [-123.13811408663454, 49.269173574371536], [-123.13812960572115, 49.26915375738733], [-123.13814458816944, 49.26913375214329], [-123.13815902030922, 49.26911358564172], [-123.13817292963319, 49.2690932578499], [-123.13818627492866, 49.26907277781248], [-123.13819908366331, 49.26905213650167], [-123.13821134216698, 49.26903136091951], [-123.13822303669419, 49.26901045108269], [-123.13823418096648, 49.26898939797974], [-123.13824476131381, 49.26896822861275], [-123.13825476399077, 49.26894694299838], [-123.13826421651527, 49.26892555009891], [-123.13827307762466, 49.268904040968835], [-123.13828137488716, 49.268882442560766], [-123.13828909455745, 49.268860754891335], [-123.1382962228902, 49.26883897797708], [-123.13830278737825, 49.26881711178524], [-123.13830876063078, 49.26879519232946], [-123.13831414259826, 49.268773201619496], [-123.13831894705272, 49.26875114863415], [-123.1383231465531, 49.268729051396775], [-123.13832676859222, 49.26870690987445], [-123.13832979942487, 49.26868472408373], [-123.13842042744827, 49.26716658545854]], [[-123.13839608458325, 49.26789905789002], [-123.13843782302602, 49.26677618183243]]], 'type': 'MultiLineString'}, 'properties': {}}",South Approach - Main Ramp,,South Approach - Main Ramp,2026-04-11,http://vanmapp1.vancouver.ca/roadahead/events/details/3f2676bf-0247-4f20-b08e-6715a5c5c6c8,"{'lon': -123.1382977580034, 'lat': 49.26811517740459}"
"{'type': 'Feature', 'geometry': {'coordinates': [[[-123.10941620553135, 49.2698247668211], [-123.10941867795283, 49.269295559061334]], [[-123.10941085493421, 49.27027706833496], [-123.10941472282568, 49.27018615022885], [-123.10941620553135, 49.2698247668211]]], 'type': 'MultiLineString'}, 'properties': {}}",Columbia St - W 1st Av to W 2nd Av,,Columbia St - W 1st Av to W 2nd Av,2026-05-14,http://vanmapp1.vancouver.ca/roadahead/events/details/4721b864-f15e-481d-a7d9-a79b43ba42ad,"{'lon': -123.1094162823326, 'lat': 49.269786350353186}"
"{'type': 'Feature', 'geometry': {'coordinates': [[[-123.10375242412442, 49.27017366184094], [-123.10266213821873, 49.27015364092304]], [[-123.1045978633537, 49.27018918089729], [-123.10375242412442, 49.27017366184094]], [[-123.10463357800873, 49.270189832195655], [-123.10610330988426, 49.270216700840734]], [[-123.10610330988426, 49.270216700840734], [-123.10653392088008, 49.27022457119858]], [[-123.10653392088008, 49.27022457119858], [-123.10669393597271, 49.270227490913356]], [[-123.10669393597271, 49.270227490913356], [-123.10941085493421, 49.27027706833496]]], 'type': 'MultiLineString'}, 'properties': {}}",W 1st Av - Columbia St to Quebec St,,W 1st Av - Columbia St to Quebec St,2026-05-14,http://vanmapp1.vancouver.ca/roadahead/events/details/6665737b-1b89-4b1c-9f9b-d650e3de4f76,"{'lon': -123.10604405389682, 'lat': 49.27021557487841}"
"{'type': 'Feature', 'geometry': {'coordinates': [[[-123.10595862367998, 49.225750217295996], [-123.10610033805, 49.22573365287201], [-123.10658023209001, 49.22575124660901]], [[-123.11075063725, 49.22590431793901], [-123.11295573067, 49.225984885261994]], [[-123.10658023209001, 49.22575124660901], [-123.10841439274, 49.22581872237501]], [[-123.10841439274, 49.22581872237501], [-123.11075063725, 49.22590431793901]], [[-123.10597405295229, 49.22575582545838], [-123.10537329669687, 49.22574368269096]], [[-123.11295573067, 49.225984885261994], [-123.11467157734, 49.226047519865006]], [[-123.11637371778487, 49.22611803510793], [-123.11464637517928, 49.226040960912485]], [[-123.10599045554, 49.224804524781035], [-123.10382784319, 49.224760100213956]], [[-123.10595862367998, 49.225750217295996], [-123.10597412167, 49.22527774474602]], [[-123.10232922233503, 49.22568215711115], [-123.10164743415672, 49.22566877140011]], [[-123.10597412167, 49.22527774474602], [-123.10599045554, 49.224804524781035]], [[-123.10318232622195, 49.225700279330425], [-123.10232922233503, 49.22568215711115]], [[-123.10381410629118, 49.22571219872489], [-123.10318232622195, 49.225700279330425]], [[-123.10447923717203, 49.22572605446865], [-123.10381410629118, 49.22571219872489]], [[-123.10537329669687, 49.22574368269096], [-123.10447923717203, 49.22572605446865]]], 'type': 'MultiLineString'}, 'properties': {}}","Phase 1:
- W 50th Ave. from Quebec to Ontario
- Ontario St. from 50th Ave. to",,"Phase 1:
- W 50th Ave. from Quebec to Ontario
- Ontario St. from 50th Ave. to",2026-12-16,http://vanmapp1.vancouver.ca/roadahead/events/details/9f5e15ce-f10f-4965-9231-efed6174d208,"{'lon': -123.10835989843339, 'lat': 49.22569817514991}"
